160,"Electronics Engineering Tech","Técnico en ingeniería electrónica","IT,MF,SC","Los técnicos en ingeniería electrónica instalan, reparan y mantienen dispositivos electrónicos, y ayudan a los ingenieros a desarrollar, construir y probar nuevas tecnologías."
161,"Electronics Repairer","Reparador de equipos electrónicos","IT,MF,SC","Los reparadores de equipos electrónicos reparan y realizan el mantenimiento de equipos electrónicos, como los televisores, las cámaras y las computadoras."
162,"Elementary School Teacher","Maestro de escuela primaria","ED","Los maestros de escuela primaria dan clases a los niños desde jardín de infantes hasta sexto grado."
163,"Elevator Installer and Repairer","Instalador y reparador de ascensores","ED","Los instaladores y reparadores de ascensores se ocupan de la fabricación, el mantenimiento y la reparación de ascensores eléctricos o hidráulicos, tanto de carga como de pasajeros."
164,"Engineering Tech","Técnico en ingeniería","ED","Los técnicos en ingeniería ofrecen a los ingenieros la asistencia técnica necesaria para llevar las ideas a la práctica."
165,"Entrepreneur","Empresario","BU,MK","Los empresarios organizan y dirigen negocios nuevos."
166,"Environmental Engineer","Ingeniero ambiental","AG,MF,SC","Los ingenieros ambientales ayudan a mantener ambientes limpios y saludables a través de la protección de la calidad del aire, el suelo y el agua."
167,"Environmental Health Inspector","Inspector de salud ambiental","GO,LA","Los inspectores de salud ambiental protegen a las comunidades de enfermedades mediante la inspección de restaurantes, hoteles, piscinas y otros lugares públicos."
168,"Environmental Technician","Técnico en medio ambiente","GO,LA","Los técnicos en medio ambiente obtienen y analizan muestras de aire, agua y suelo de áreas contaminadas con el objetivo de ayudar a controlar y a evitar la contaminación."
169,"Epidemiologist","Epidemiólogo","HE,SC","Los epidemiólogos emplean estadísticas para determinar las causas de las enfermedades en las poblaciones."
170,"ESL Teacher","Profesor de inglés como segundo idioma","ED,HS","Los profesores de inglés como segundo idioma enseñan el idioma inglés a personas no angloparlantes."
171,"Esthetician","Esteticista","ED,HS","Los esteticistas tratan y cuidan la piel para que esté saludable y tenga un buen aspecto."
172,"Event Planner","Planificador de eventos","BU,HT,HS","Los planificadores de eventos organizan convenciones, exposiciones, bodas y otros eventos."
173,"Exhibit Designer","Diseñador de exposiciones","AR,HT","Los diseñadores de exposiciones crean muestras atractivas en lugares educacionales, como centros científicos, museos y zoológicos."
174,"Explosives Specialist","Especialista en explosivos","AG,AC,LA","Los especialistas en explosivos trabajan en muchos campos diferentes, tanto en la creación como en la prevención de explosiones."
175,"Family Physician","Médico familiar","HE","Los médicos familiares atienden a los pacientes desde el primer año de vida hasta la vejez, diagnostican y tratan una amplia variedad de enfermedades."
